,0,1,2,3
"(2, 5)",0.0,0.44173386145213606,-0.0001,0.0
"(3, 5)",0.0,0.0,0.0,0.0
"(1, 5)",-0.0001,0.056566307097116894,-0.000199,-0.000199
"(1, 4)",0.0,0.0,0.0,0.0
"(4, 4)",-0.00020701,-0.000199,-0.0004962774850958152,0.06971318557606818
"(3, 4)",-0.0003940399,-0.00039583090000000005,0.00017024602562811956,0.9618549451073231
"(5, 4)",0.0,0.0,0.0,0.0
"(4, 5)",0.49001425375043445,-0.0001,-0.00019697291272,-0.0001
"(4, 3)",0.2824005022557693,-0.000490099501,-0.0005000025909380286,-0.0005608613777327556
"(4, 2)",-0.0013994164535871148,-0.0014230006100844673,-0.0014262888689154365,0.06502928709153621
"(5, 2)",0.0012701079278399066,-0.0027605627499780834,-0.0027935246678990108,-0.002750196640421464
"(4, 1)",-0.002602996266117196,-0.00267499573446587,-0.002665190753043488,0.0007831291088719878
"(5, 1)",-0.00428304692623009,-0.0043064374690355125,-0.004305717974140714,-0.004326314989597366
"(5, 3)",0.0,0.0,0.0,0.0
"(5, 5)",0.0,0.0,0.0,0.0
"(3, 2)",0.0,0.0,0.0,0.0
"(1, 1)",-0.0037304965371481777,-0.0037564680110368865,-0.0037228339605125046,-0.0037350013420949127
"(1, 2)",-0.0024650213683146864,0.0010933659660599005,-0.0025265839182043105,-0.0024782488700984223
"(2, 2)",-0.0012250606696664439,-0.0012247897700103203,-0.0013044155959207526,0.06750443046316552
"(2, 1)",-0.002174326539488708,-0.0021432185919278107,-0.0021761948595679943,0.0006390316093424684
"(3, 1)",0.0,0.0,0.0,0.0
"(1, 3)",-0.0011890054749618567,0.025948612007500118,-0.0012214186732106961,-0.0012247897700103203
"(2, 3)",-0.00046023473284876855,0.32508997386830235,-0.0006001420558378581,-0.000490099501
"(3, 3)",0.0021323627719459165,-0.000201682,-0.00029701,0.7293457075800798
"(2, 4)",0.0,0.0,0.0,0.0
