flow_pktlen,label
"[32, -32, 20, 537, -20, -4400, -842, 20, -842, 32, 113, 125, 1283, 646, 777, 647, 865, 651, 646, 652, -20, -20, -20, -20, -20, -20, -20, -190, -104, 20, 58, -20, -104, 32, -20, 647, -20, -20, 653, -20, 648, -20, -20, 646, 651, -20, 648, 652, -20, 647, -20, 652, 652, -20, 652, -20, -20, 831, -20, -20, -20, -252, -2940, -666, -617, -2940, 20, -2940, -104, 20, -1480, -4400, -572, 20, -75, -2940, -1234, -8780, -586, 20, -58, -75, -2940, 20, -14620, 20, -973, -74, -2940, -1234, -137, 20, -75, -2940, -1234, 20, -1480, -11700, -1434, 20, -75, -75, -2940, -1234, -13160, 20, -1316, -58, -2940, 20, -1234, -2940, 20, -5860, -316, -96, 20, -74, -2940, -1234, -140, 20, -74, -2940, -1234, -134, 20, -74, -2940, -1234, 20, -139, -74, 20, -2940, -1234, 20, -70, -150, 20, -2940, -1234, 20, -137, -74, -2940, -1234, -123, 20, -74, -2940, -1234, 20, -135, -74, -2940, -1234, 20, -1480, -700, 20, -74, -2940, -1234, -1480, -716, 20, -75, -2940, -1234, -7320, -1457, -58, -74, -1480, 20, -1480, -1234, -224, 20, -75, -2940, -1234, 20, -7320, -1411, -58, 20, -74, -2940, -1234, 20, -132, 20, -51, -20, 20, 20, -20]",web
"[32, -32, 20, 537, -20, -4340, -902, 20, 113, 125, -902, 32, 412, 95, -20, -20, -190, -95, -58, 20, 58, -20, -20, -680, -67, 20, 214, -67, 32, -20, -20, -253, -135, -58, 20, -58, 32]",web
"[32, -32, 20, 537, -20, -4340, -902, -902, 32, 113, 125, 564, 1460, 1460, 1364, 530, -20, -190, -20, -20, -20, -95, -58, 20, 58, -20, -20, -20, -62, -98, -58, 20, -58, 32, -20, -337, -607, -58, 20, -58, 32, 477, -20, -62, -58, 20, -58, 32]",web
"[32, -32, 20, 537, -20, -4340, -908, 20, 113, 1249, -908, 32, -20, -20, -190, -278, 20, 1250, -278, 32, -20, -278, 1249, -20, -278, 1252, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20]",web
"[32, -32, 20, 537, -20, -4340, -908, 20, -908, 32, 113, 1249, -20, -20, -190, -278, 20, -278, 32, 1215, -20, -278, 1250, -20, -278, 1249, -20, -278, 1249, -20, -278, 20]",web
"[32, -32, 20, 537, -20, -4340, -908, -908, 32, 113, 1249, -20, -190, -20, -278, 20, 1248, -278, 32, -20, -278, 1249, -20, -278, 1252, -20, -278, 1215, -20, -278, 20]",web
"[32, -32, 20, 537, -20, -1460, -1460, -1460, -908, 20, 113, -908, 32, 1215, -20, -190, -20, -278, 20, 1249, -278, 32, -20, -278, 1249, -20, -278, 1250, -20, -278, 20]",web
"[32, -32, 20, 537, -20, -1460, -1460, -1460, -908, 20, 113, -908, 32, 1249, -20, -20, -190, -278, 20, -278, 32, 1249, -20, -278, 1248, -20, -278, 20]",web
"[32, -28, 20, 22, 59, -20, -20, -224, 20, -20, 20]",web
"[32, -32, 20, 537, -20, -4340, -908, 20, 113, 1215, -908, 32, -20, -20, -190, -278, 20, 1252, -278, 32, -20, -278, 1249, -20, -278, 20]",web
"[32, -32, 20, 537, -20, -2940, -282, 20, 113, 20, -294, -89, -20, 20]",web
"[32, -32, 20, 537, -20, -20, -2940, 20, -282, 113, 20, -294, -89, 20, -20]",web
"[32, -32, 20, 537, -20, -2940, 20, -282, 113, 20, -294, 20, -89, -20]",web
