five_tup,flow_pktlen
"['10.208.8.65', '124.95.191.233', 65451, 443, 6]","[32, -32, 20, 537, -20, -114, -1480, -1345, -504, 20, -358, -29, 20, 146, 125, 448, 105, 109, 114, 102, 106, -29, 32, 103, 110, 114, 105, 100, -20, -20, -26, -65, 20, -95, -58, -1480, -1061, -1480, 20, -1480, -1129, -145, 20, 58, -5860, 20, -20, -1480, 20, -4400, 20, -5860, -1263, 20, 87, 105, 106, -20, -20, -90, -2940, -1129, -2940, 20, -20460, 20, -11700, -917, 20, -20, -90, 20, -1480, -796, 20, -1480, -863, 20, 87, -113, -2940, -1129, -92, 20, 143, 93, -20, -1020, -2940, -1129, -154, -2940, -684, 20]"
"['10.208.8.65', '124.95.191.233', 65452, 443, 6]","[32, -32, 20, 537, -20, -114, -1480, -1345, -504, 20, 20, -358, -29, 20]"
"['10.208.8.65', '124.95.191.233', 65453, 443, 6]","[32, -32, 20, 537, 20, -20, -114, -1480, -1345, -504, 20, -358, -29]"
"['10.208.8.65', '124.95.191.233', 65454, 443, 6]","[32, -32, 20, 537, -20, -114, -1480, -1345, -504, 20, 20, -358, -29, 20]"
"['10.208.8.65', '124.95.191.233', 65455, 443, 6]","[32, -32, 20, 537, 20, -20, -114, -1480, -1345, -504, 20]"
"['10.208.8.65', '124.95.191.233', 65456, 443, 6]","[32, -32, 20, 537, 20, -20, -114, -1480, -1345, 20, -504, -358, -29]"
"['10.208.8.65', '59.111.105.199', 65460, 443, 6]","[32, -32, 20, 537, -161, 71, -20]"
"['10.208.8.65', '111.206.209.249', 65461, 443, 6]","[32, -32, 20, 537, -20, -4400, -848, 20, 113, 799, -848, 32, -20, -20, -190, -1228, -1480, -947, -608, -73, -5860, 20, -1480, -354, 20, 1300, -20, -348, 20, -51, -20, 20]"
"['10.208.8.65', '59.111.105.199', 65465, 443, 6]","[32, -32, 20, 537, -1380, -1380, -506, 32, 20, 146, -278, 742, 1380, 1380, 1380, 1380, 1380, 1380, 1380, 1380, 1380, -20, -20, -20, 1380, 845, -20, -20, -20, -20, -20, -20, -20, -32, -544, -54, 20, 20, -20, 20, -51, 20]"
"['10.208.8.65', '59.111.105.199', 65466, 443, 6]","[32, -32, 20, 537, -1380, -506, -1380, 32, 32, 20, 146, -278, 740, 984, -20, -544, -54, 20, 20, -51, -20, 20]"
"['10.208.8.65', '10.80.128.28', 65467, 53, 6]","[32, -28, 20, 22, 58, -20, -20, -157, 20, -20, 20]"
"['10.208.8.65', '153.35.89.225', 65473, 443, 6]","[32, -32, 20, 537, -20, -1292, -2844, 32, 20, -1297, 100, 118, 428, -20, -20, -20, -594, 20, -91, -545, -51, 20, 51, -20]"
"['2001:da8:1002:a000::6:a3cf', '240e:cf:8800:b::6ae1:c230', 65474, 443, 6]","[32, -32, 20, 537, -20, -2844, -1292, 20, -1297, 20, 100, 118, 433, -20, -20, -20, -594, -91, -4256, 20, 51, -4256, 20, -8492, 20, -16964, -1432, 20, -1432, 20, -4256, -20, 20, -4256, 20, -285, 20]"
"['10.208.8.65', '112.80.255.53', 65480, 443, 6]","[32, -32, 20, 537, -20, -4400, -842, 20, -842, 32, 113, 125, 1283, 646, 777, 647, 865, 651, 646, 652, -20, -20, -20, -20, -20, -20, -20, -190, -104, 20, 58, -20, -104, 32, -20, 647, -20, -20, 653, -20, 648, -20, -20, 646, 651, -20, 648, 652, -20, 647, -20, 652, 652, -20, 652, -20, -20, 831, -20, -20, -20, -252, -2940, -666, -617, -2940, 20, -2940, -104, 20, -1480, -4400, -572, 20, -75, -2940, -1234, -8780, -586, 20, -58, -75, -2940, 20, -14620, 20, -973, -74, -2940, -1234, -137, 20, -75, -2940, -1234, 20, -1480, -11700, -1434, 20, -75, -75, -2940, -1234, -13160, 20, -1316, -58, -2940, 20, -1234, -2940, 20, -5860, -316, -96, 20, -74, -2940, -1234, -140, 20, -74, -2940, -1234, -134, 20, -74, -2940, -1234, 20, -139, -74, 20, -2940, -1234, 20, -70, -150, 20, -2940, -1234, 20, -137, -74, -2940, -1234, -123, 20, -74, -2940, -1234, 20, -135, -74, -2940, -1234, 20, -1480, -700, 20, -74, -2940, -1234, -1480, -716, 20, -75, -2940, -1234, -7320, -1457, -58, -74, -1480, 20, -1480, -1234, -224, 20, -75, -2940, -1234, 20, -7320, -1411, -58, 20, -74, -2940, -1234, 20, -132, 20, -51, -20, 20, 20, -20]"
