five_tup,flow_pktlen
"['180.106.207.77', '10.201.115.30', 9860, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.65.188.253', 5681, 42006, 17]","[24, -24, 24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, 24, 24, -24]"
"['180.114.126.92', '10.201.115.30', 12672, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['114.222.216.96', '10.201.115.30', 6815, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['180.126.245.14', '10.201.115.30', 16904, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '49.77.218.230', 5681, 6141, 17]","[24, -24, 24, 24, -24]"
"['10.201.115.30', '115.236.144.210', 5681, 20002, 17]","[627, -17, 627, -17, 627, -17, 627, -17, 627, -17, 627, -17, 627, -17]"
"['10.201.115.30', '36.113.210.33', 5681, 50213, 17]","[361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 361, 24, 361, 24, 361, 24, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 24, 361, 361, 361, 361]"
"['10.201.115.30', '106.8.131.97', 51566, 80, 6]","[32, -24, 20, 1337, -20, -310, -20, 20, 20, -20]"
"['114.225.31.53', '10.201.115.30', 12470, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['121.225.54.201', '10.201.115.30', 11597, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['114.227.229.22', '10.201.115.30', 50693, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['180.111.45.3', '10.201.115.30', 38475, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24]"
"['49.76.196.214', '10.201.115.30', 17031, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['202.111.103.31', '10.201.115.30', 14869, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['114.228.98.102', '10.201.115.30', 52615, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['49.67.218.163', '10.201.115.30', 53021, 5681, 17]","[-24, 24, 24, 24, -24]"
"['114.228.213.97', '10.201.115.30', 49378, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '117.88.175.82', 5681, 32562, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['117.81.97.103', '10.201.115.30', 14959, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['114.224.51.5', '10.201.115.30', 11409, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['114.221.96.167', '10.201.115.30', 31519, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '180.109.46.221', 5681, 13923, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['49.66.151.12', '10.201.115.30', 38418, 5681, 17]","[-24, 24, -24, 24, -24, 24, 24, -24]"
"['49.70.50.87', '10.201.115.30', 24886, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['121.237.62.12', '10.201.115.30', 4391, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.82.180.144', 5681, 10055, 17]","[24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '180.117.77.237', 5681, 25776, 17]","[24, -24]"
"['10.201.115.30', '180.120.111.88', 5681, 33946, 17]","[24, -24]"
"['58.217.108.113', '10.201.115.30', 20728, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '121.232.15.141', 5681, 26429, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.89.4.138', 5681, 37776, 17]","[24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '49.88.97.225', 5681, 19433, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['221.230.214.222', '10.201.115.30', 4470, 51129, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20]"
"['121.239.115.199', '10.201.115.30', 48778, 51130, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]"
"['2001:da8:1002:6001::1:7f8c', '240e:e9:d804:200:3::3ed', 54685, 80, 6]","[32, -32, 20, 124, -20, -362, -20, 20, 20, -20]"
"['10.201.115.30', '106.11.43.71', 57749, 80, 6]","[32, -32, 20, 550, -20, -364, -1480, -1480, -1480, -1480, -1480, -281, 20, -20, 20]"
