five_tup,flow_pktlen
"['122.227.138.12', '10.201.115.30', 4470, 51133, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]"
"['1.180.207.38', '10.201.115.30', 4470, 51128, 6]","[20, -20, 20, -20, 20, -20, 20, -20, 20, -20, -20, 20]"
"['59.47.225.214', '10.201.115.30', 4470, 51132, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]"
"['60.188.230.62', '10.201.115.30', 4470, 51134, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]"
"['42.248.192.56', '10.201.115.30', 4470, 51135, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, 20, -20]"
"['1.180.206.37', '10.201.115.30', 4470, 51131, 6]","[20, -20, 20, -20, 20, -20, 20, -20, 20, -20, -20, 20]"
"['10.201.115.30', '121.235.150.57', 5681, 14712, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '117.85.204.204', 5681, 51931, 17]","[24, -24, 24, 246, 246, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '117.80.154.251', 5681, 59210, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['221.230.207.102', '10.201.115.30', 4470, 52927, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20]"
"['221.230.240.227', '10.201.115.30', 4470, 52925, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20]"
"['221.230.217.209', '10.201.115.30', 4470, 52926, 6]","[-20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20, -20, 20]"
"['59.47.225.211', '10.201.115.30', 4470, 52921, 6]","[-20, 20, 20, -20]"
"['58.211.12.216', '10.201.115.30', 80, 63235, 6]","[-20, 20]"
"['10.201.115.30', '114.226.55.25', 5681, 35981, 17]","[24, -24, 24, 246, 246, -24, -694, 24, 507, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, 1402, -24, 1402, -24, 1402, -24, -24, -24, -28, -28, 1402, 1402, 1402, 1402, 1402, -28, 1402, -28, -28, 1402, -28, -28, 1402, 1402, 1402, -28, 1402, -28, 1402, 1402, 1402, -28, -28, -28, 1402, 1402, 1402, -28, -28, 1402, -24, 1394, -24, -24, -28, 1402, -24, 1402, 1402, 1402, 1394, -24, -24, -24, -24, -539, 24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1394, -24, -24, -24, -24, -24, -24, -24, -24, -24, 24, -24, -419, 24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, 1402, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, -28, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -28, -28, 1402, 1402, 1402, 1402, -28, -24, -28, 1402, 1402, 1402, -28, 1402, -24, -28, -24, -28, -28, -28, -28, 1402, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -28, -28, -28, -28, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, 1402, -24, 1402, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, -24, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -28, 1402, -28, 1402, 1402, 1402, 1402, 1402, 1402, -28, 1402, 1402, -24, -24, 1402, 1402, -24, -24, 1402, 1402, -24, -28, 1402, 1402, -24, -24, 1402, 1362, -24, -24, -24, -24, -24, -28, -28, 1402, -24, -563, 24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, -24, -24, 1402, -24, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1394, -24, -24, -24, -24, -24, -24, -24, -24, 24, -24, -24, 24, -24, 24, -347, 24, 507, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -28, 1402, 1402, -28, 1402, 1402, -28, 1402, 1402, 1402, 1402, 1402, 1402, -28, -28, 1402, 1402, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -28, 1402, 1402, -24, 1402, -24, -24, -28, 1402, 1402, 1402, -28, 1402, -28, 1402, -28, 1402, -28, -28, -28, 1402, 1402, 1402, -28, 1402, -24, -24, -24, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, -24, -24, 1402, -24, 1402, 1402, -24, 1402, -24, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1362, -24, -24, -24, -24, -24, -24, -24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '58.243.202.114', 5681, 20001, 17]","[627, -18, 627, -18, 627, -18, 627, -18, 627, -18, 627, -18, 627, -18, 627, -18, 627, -18, 627, -18]"
"['10.201.115.30', '106.111.219.154', 5681, 29207, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361]"
"['10.201.115.30', '121.238.7.224', 5681, 15706, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['221.130.19.94', '10.201.115.30', 80, 61878, 6]","[-48, 20]"
"['10.201.115.30', '58.215.177.148', 5681, 20002, 17]","[627, -16]"
"['10.201.115.30', '117.84.202.28', 5681, 38893, 17]","[24, -24, 24, 246, -24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '114.220.191.233', 5681, 13851, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '114.225.24.106', 5681, 20221, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '180.153.91.90', 5681, 20001, 17]","[627, -18, 627, -18]"
"['10.201.115.30', '116.253.27.33', 5681, 20002, 17]","[627, -16]"
"['10.201.115.30', '117.61.109.90', 5681, 64202, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '182.140.245.178', 5681, 20001, 17]","[627, -18]"
"['10.201.115.30', '180.116.134.16', 5681, 16908, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '119.97.171.49', 5681, 20001, 17]","[627, -17]"
"['10.201.115.30', '218.93.6.242', 5681, 13557, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '58.215.177.152', 5681, 20002, 17]","[627, -17]"
"['10.201.115.30', '49.65.236.55', 5681, 46934, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '223.247.105.191', 5681, 20001, 17]","[627, -16]"
"['10.201.115.30', '114.224.19.157', 5681, 49057, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '49.81.161.29', 5681, 18443, 17]","[24, -24, 24, 246, -24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '180.153.91.46', 5681, 20001, 17]","[627, -16, 619, -16]"
"['10.201.115.30', '223.247.105.190', 5681, 20001, 17]","[627, -16]"
"['10.201.115.30', '182.140.245.175', 5681, 20002, 17]","[627, -18]"
"['10.201.115.30', '117.83.53.117', 5681, 19968, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '121.233.100.196', 5681, 1451, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '114.230.8.214', 5681, 25348, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '121.235.174.32', 5681, 38841, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '218.93.3.68', 5681, 13086, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '180.111.71.153', 5681, 19955, 17]","[24, -24, 24, 246, -24, -511, 24, 507, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -28, -28, -28, 1402, 1402, 1402, -28, -28, 1402, 1402, -28, 1402, -28, 1402, 1402, -28, -28, -28, 1402, 1402, 1402, -28, -28, 1402, 1402, -28, 1402, -28, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1394, -24, -24, -24, -24, -24, -24, -24, -24, -1244, 24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -28, -28, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, 1402, -24, 1402, 1402, -1292, 24, -24, -24, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, 1402, -24, -24, -24, 1402, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -28, -28, -28, 1402, 1402, 1402, 1362, 1402, -28, 1402, -28, -28, 1402, 1402, 1402, 1402, -28, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -28, -28, -28, -28, -28, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -28, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, -24, -24, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, -1402, -82, 1402, 24, 24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, -24, 1402, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, -24, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, 1402, 1402, -24, 1402, -24, -24, 1362, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, 1402, -24, 1402, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, 1402, 1402, -24, -24, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, 1402, 1402, -24, 1402, 1402, -24, 1402, -24, 1402, -24, 1402, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, -24, -24, -24, 1402, 1402, 1402, 1402, -24, -24, -24, -24, -24, 1402, 1402, 1402, 1402, 1402, -24, -24, -24, 1402, 1402, 1402, -24, -24, -24, 1402, 1362, -24, -24, -24, -24, -24, -24, -24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '117.61.116.118', 5681, 41465, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24, 24, 24, 24, 24]"
"['10.201.115.30', '180.153.91.90', 5681, 20002, 17]","[627, -18]"
"['10.201.115.30', '122.227.251.96', 5681, 20002, 17]","[627, -18]"
"['10.201.115.30', '58.215.177.147', 5681, 20002, 17]","[627, -17]"
"['10.201.115.30', '223.247.105.195', 5681, 20001, 17]","[635, -16, 627, -16]"
"['10.201.115.30', '180.120.241.204', 5681, 21113, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '180.153.91.91', 5681, 20001, 17]","[627, -16]"
"['10.201.115.30', '114.224.208.78', 5681, 24427, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '182.140.245.172', 5681, 20001, 17]","[627, -16]"
"['10.201.115.30', '49.69.40.27', 5681, 35380, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361]"
"['10.201.115.30', '222.92.164.65', 5681, 51018, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '49.66.106.99', 5681, 12759, 17]","[24, -24, 24, 246, -24, 24, -24, 24, -24, 24, 24, -24]"
"['10.201.115.30', '115.236.144.209', 5681, 20002, 17]","[619, -17, 619, -17]"
"['10.201.115.30', '180.111.92.187', 5681, 21361, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '117.80.249.27', 5681, 64689, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '116.253.27.34', 5681, 20002, 17]","[627, -17]"
"['10.201.115.30', '117.62.110.190', 5681, 35496, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '180.126.221.143', 5681, 11586, 17]","[24, 24, 24, 24, 24, 361, 24, 24, 24, 24, 24]"
"['10.201.115.30', '49.68.199.180', 5681, 17543, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '119.97.171.45', 5681, 20002, 17]","[627, -18]"
"['10.201.115.30', '49.88.228.117', 5681, 17976, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361]"
"['10.201.115.30', '180.153.91.91', 5681, 20002, 17]","[627, -16]"
"['10.201.115.30', '94.193.0.44', 5681, 63269, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['10.201.115.30', '114.229.244.217', 5681, 12402, 17]","[24, -24, 24, 246, -24, 24, -24]"
"['10.201.115.30', '121.231.48.108', 5681, 15288, 17]","[24, -24, 24, 246, -24, 24, -24]"
"['10.201.115.30', '180.101.196.142', 5681, 20001, 17]","[627, -18, 627, -18]"
"['10.201.115.30', '116.253.27.24', 5681, 20002, 17]","[619, -18]"
"['10.201.115.30', '121.235.168.235', 5681, 27208, 17]","[24, -24, 24, 246, -24]"
"['10.201.115.30', '180.110.211.98', 5681, 20136, 17]","[24, 24, 24, 24]"
"['10.201.115.30', '221.226.153.195', 5681, 13625, 17]","[24, 24, 24, 24, 24, 361, 24, 24, 24, 24]"
"['180.114.126.92', '10.201.115.30', 12672, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['114.226.55.25', '10.201.115.30', 35981, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '49.89.120.176', 5681, 20402, 17]","[24, 24, 24, 361, 24, 24, 24, 24]"
"['114.222.216.96', '10.201.115.30', 6815, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '112.84.181.150', 5681, 6086, 17]","[24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361, 24, 24, 24]"
"['10.201.115.30', '114.219.67.163', 5681, 14083, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['121.238.60.111', '10.201.115.30', 22362, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['121.224.103.189', '10.201.115.30', 6681, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['116.253.27.29', '10.201.115.30', 20001, 5681, 17]","[-635, 16, -635, 16, -603, 16, -603, 16, -635, -635, 16, 16, -635, 16, -611, 16, -611, 16, -643, -643, 16, 16, -635, 16, -643, -643, 16, 16, -635, 16, -635, 16, 17, -603, -603, 16, 16, -635, -635, 16, 16, -611, -611, 16, 16, -635, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -619, 16, -603, -603, 16, 16, -611, 16, -611, 16, -643, -643, 16, 16, -635, -635, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, 17, -619, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -643, 16, -643, 16, -643, -643, 16, 16, 17, -603, 16, -643, -643, 16, 16, -635, -635, 16, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -643, 16, -643, 16, -603, 16, -643, -643, 16, 16, -619, 16, -635, -635, 16, 16, -643, -643, 16, 16, -643, 16, -643, 16, 17, -603, 16, -643, -643, 16, 16, -619, 16, -635, -635, 16, 16, -603, -603, 16, 16, -635, 16, -603, -603, 16, 16, -643, 16, -643, 16, -635, -635, 16, 16, -643, -643, 16, 16, -603, -603, 16, 16, -643, -643, 16, 16, -635, 16, -603, 16, -603, 16, 17, -635, -635, 16, 16, -603, -603, 16, 16, -635, 16, 331, -250, -635, -635, 16, 16, -619, 16, 17, -643, 16, -643, 16, -619, 16, -611, -611, 16, 16, -643, 16]"
"['10.201.115.30', '49.93.180.200', 5681, 19775, 17]","[24, 24, 24, 24, 24, 24, 361, 24, 361, 24, 361, 24, 361, 24, 361, 361, 361, 361]"
"['10.201.115.30', '117.88.175.82', 5681, 32562, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24]"
"['202.111.103.31', '10.201.115.30', 14869, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '180.109.46.221', 5681, 13923, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24]"
"['114.234.196.198', '10.201.115.30', 13490, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24, -24, 24, 24, -24, 24, -24, 24]"
"['114.239.229.144', '10.201.115.30', 17265, 5681, 17]","[-24, 24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['117.81.97.103', '10.201.115.30', 14959, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['114.224.51.5', '10.201.115.30', 11409, 5681, 17]","[-24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '180.106.207.77', 5681, 9860, 17]","[24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.82.180.144', 5681, 10055, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '114.225.31.53', 5681, 12470, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24]"
"['10.201.115.30', '106.11.43.71', 57749, 80, 6]","[20, 20, 20, 20, 20, 20, 20]"
"['10.201.115.30', '106.11.43.71', 64355, 80, 6]","[32, -32, 20, 549, -20, -364, -1480, -1480, -887, 20, -20, 20, 20, 20, 20, 20]"
"['2001:da8:1002:6001::1:7f8c', '2408:873c:3810:3:3::3fd', 64356, 80, 6]","[32, -32, 20, 124, -20, -460, -20, 20, 20, -20]"
"['10.201.115.30', '121.237.62.12', 5681, 4391, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '121.225.54.201', 5681, 11597, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '121.232.15.141', 5681, 26429, 17]","[24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['10.201.115.30', '49.82.67.249', 5681, 15255, 17]","[24, 24, 24, 24, 24, 24, -24, 24, 246, -24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24, -24, 24]"
"['2001:da8:1002:6001::1:7f8c', '2408:873c:3810:3:3::3fd', 64360, 80, 6]","[32, -32, 20, 136, -20, -444, -20, 20, 20, -20]"
